fast,mid,slow,zone,expiry,be,is_n,is_total_R,is_avg_R,is_t,is_win,oos_n,oos_total_R,oos_avg_R,oos_t,oos_win
20,125,250,100.0,8,False,143,-3.321869456628127,-0.02322985634005683,-0.20036931737284527,32.86713286713287,52,19.002429595739702,0.36543133837960967,1.7680727156286915,46.15384615384615
20,125,250,100.0,12,True,153,-4.9187473021824895,-0.03214867517766333,-0.31700180957302154,45.09803921568628,60,16.002585787108664,0.2667097631184777,1.6824133375753516,65.0
20,125,250,100.0,12,False,146,-3.321869456628127,-0.022752530524850184,-0.19821634702451116,32.87671232876712,56,24.0024295957397,0.4286148142096375,2.145299474227347,48.214285714285715
20,125,200,100.0,8,True,154,-4.918754200317874,-0.03193996233972646,-0.31700834514415804,45.45454545454545,55,7.002547528345289,0.12731904596991434,0.7889824638227296,60.0
20,125,200,100.0,8,False,149,-6.6607919951155266,-0.04470330198064112,-0.3954243120317855,31.543624161073826,51,20.002429595739702,0.3922045018772491,1.8765703627849648,47.05882352941176
20,125,200,100.0,12,True,158,-5.918717351253133,-0.037460236400336286,-0.37607317484233793,44.936708860759495,61,13.002568685033598,0.21315686368907538,1.3789016290151146,63.934426229508205
20,125,200,100.0,12,False,153,-7.54207767214871,-0.049294625308161505,-0.4424433152666119,31.372549019607842,55,25.002429595739702,0.4545896290134491,2.253433799233256,49.09090909090909
20,125,200,100.0,16,True,160,-5.918692397587487,-0.036991827484921795,-0.37608444115860823,45.625,65,13.002597930032273,0.20003996815434266,1.3333769370052921,63.07692307692307
20,125,200,100.0,16,False,155,-9.542077672148707,-0.061561791433217466,-0.5580716346131416,30.967741935483872,59,24.002429595739702,0.4068208406057577,2.0915226822954356,47.45762711864407
20,125,200,150.0,8,True,65,2.000094397332256,0.030770683035880857,0.19852604228536547,50.76923076923077,32,1.2163269382660533,0.038010216820814166,0.18795948775398014,59.375
20,125,200,150.0,8,False,64,-2.9929281931714877,-0.046764503018304496,-0.2678990511407818,32.8125,32,7.2162542413519315,0.22550794504224786,0.8551341672304117,40.625
20,125,250,100.0,16,True,155,-4.918722348516841,-0.031733692571076395,-0.3170123029037322,45.806451612903224,65,15.002615032107345,0.2308094620324207,1.5133202306131743,63.07692307692307
20,125,250,100.0,16,False,148,-5.321869456628126,-0.0359585774096495,-0.31650418062347624,32.432432432432435,61,22.002429595739702,0.36069556714327383,1.8900467403874175,45.90163934426229
20,125,250,150.0,8,True,66,1.0000943973322558,0.015152945414125088,0.09876375692005826,50.0,31,2.0000726969141223,0.06451847409400395,0.3115998388378873,61.29032258064516
20,125,250,150.0,8,False,65,-3.9929281931714877,-0.06142966451033058,-0.35615893379179725,32.30769230769231,31,8.0,0.25806451612903225,0.9548198320525771,41.935483870967744
20,125,250,150.0,12,True,75,1.0001045774697679,0.013334727699596906,0.09345812213262163,50.66666666666667,34,3.0000837984921453,0.08823775877918075,0.4419018506082301,61.76470588235294
